	ENGLISH	PART OF SPEECH	ODIA	INPUT
1	finger	Ns	ଆଙ୍ଗୁଳି	finger
2	finger mark	Ns	ଆଙ୍ଗୁଳିର ଚିହ୍ନ	finger
3	fingering	Ns	ଧୀରେ ଛୁଇଁବା	finger
4	fingernail	Ns	ଆଙ୍ଗୁଳିର ନଖ	finger
5	fingerprint	Ns	ଆଙ୍ଗୁଳିର ଚିହ୍ନ	finger
6	fingertip	Ns	ଆଙ୍ଗୁଳିର ଅଗ୍ରଭାଗ	finger
7	first finger	Ns	ତର୍ଜନୀ ଆଙ୍ଗୁଳି#(see Index finger)	finger
8	fish finger	Ns	ଛଣା ଯାଇଥିବା ମାଛ ଖଣ୍ଡ 	finger
9	index finger	Ns	ତର୍ଜନୀ	finger
1	a fight to the finish	IDM	ନିର୍ଣାୟକ ଲଢ଼େଇ	finish
2	finish	V	ପୂର୍ଣ୍ଣ କରିବା	finish
3	finished	Adj	ପୂର୍ଣ୍ଣ	finish
4	finisher	Ns	ଅନ୍ତ ପର୍ଯ୍ୟନ୍ତ ରହିଲାବାଲା	finish
5	finishing line	Ns	ଅନ୍ତିମ ରେଖା{ଦୌଡ଼ରେ}	finish
6	finishing school	Ns	ଖାସ ସ୍କୁଲ	finish
1	all-fired	Adj	ଅତ୍ୟଧିକ	fire
2	fire	Ns	ନିଆଁ	fire
3	fire alarm	Ns	ଫାୟର ଅଲାର୍ମ{ନିଆଁ ଲାଗିବାର ସୂଚନା ଦେଲାବାଲା ଯନ୍ତ୍ର}	fire
4	fire ball	Ns	ନିଆଁ ହୁଳା’’	fire
5	fire bomb	Ns	ନିଆଁ ଲଗାଇବା ବୋମା	fire
6	fire brigade	Ns	ଅଗ୍ନିଶାମକ ଦଳ	fire
7	fire department	Ns	ଅଗ୍ନିଶାମକ ବିଭାଗ	fire
8	fire door	Ns	ନିଆଁ ଅଟକାଇବାପାଇଁ ତିଆରି କରା ଯାଇଥିବା ଦୁଆର	fire
9	fire drill	Ns	ନିଆଁ ଲିଭାଇବାର ପ୍ରସ୍ତୁତି	fire
10	fire engine	Ns	ଦମକଳ	fire
11	fire escape	Ns	ନିଆଁ ଲାଗିବା ବେଳେ ପଳାଇବାର ରାସ୍ତା	fire
12	fire extinguisher	Ns	ନିଆଁ ଲିଭେଇବାର ଯନ୍ତ୍ର	fire
13	fire fighter	Ns	ନିଆଁ ଲିଭେଇବା ବାଲା ବ୍ୟକ୍ତି	fire
14	fire guard	Ns	ନିଆଁ ବ୍ୟାପିବାକୁ ରୋକିବାପାଇଁ ଦିଆ ଯାଇଥିବା ବାଡ଼	fire
15	fire lighter	Ns	ନିଆଁ ଲଗାଯାଉଥିବା ସାଧନ	fire
16	fire service	Ns	ଅଗ୍ନିଶାମକ ସେବା	fire
17	fire station	Ns	ଦମକଳ ରଖିବାର ଜାଗା	fire
18	fire water	Ns	କଡ଼ା ମଦ	fire
19	firearm	Ns	ବନ୍ଧୁକ ଅସ୍ତ୍ର	fire
20	firebrand	Ns	ଶୀଘ୍ର ଉତ୍ତେଜିତ ହେବାକୁ ଥିବା	fire
21	firecracker	Ns	ଫୋଟକା	fire
22	fired	Adj	ଅଗ୍ନି ପ୍ରଜ୍ଜ୍ୱଲନ	fire
23	firefly	Ns	ବିଜୁଳି	fire
24	firelight	Ns	ଅଗ୍ନିର ପ୍ରକାଶ	fire
25	fireman	Ns	ଦମକଳର ସଦସ୍ୟ	fire
26	fireplace	Ns	ଚୁଲୀ	fire
27	fireproof	Adj	ଅଗ୍ନି ନିରୋଧକ	fire
28	fireside	Ns	ନିଆଁର ପାଖକୁ	fire
29	firewood	Ns	ଜାଳେଣୀ କାଠ	fire
30	firework	Ns	ଫୋଟକା	fire
31	gas-fired	Adj	ଗ୍ୟାସଙ୍କୁଈଂଧନର ରୂପରେ ପ୍ରୟୋଗ କରା ଯାଇଥିବା	fire
32	on-fire	Ns	ଜଳୁଥିବା	fire
33	rapid-fire	Adj	ଶୀଘ୍ର ପଚରା ଯାଉଥିବା ପ୍ରଶ୍ନ	fire
1	firm	Adj	ଦୃଢ଼	firm
2	firmament	Ns	ଆକାଶ	firm
3	terra firma	Ns	ସ୍ଥଳ	firm
1	first	Adj	ପ୍ରଥମ	first
2	first aid	Ns	ପ୍ରାଥମିକ ଚିକିତ୍ସା	first
3	first born	Ns	ପ୍ରଥମ ସଂତାନ	first
4	first class	Ns	ପହଲା ଶ୍ରେଣୀ	first
5	first cousin	Ns	କକାପୁଅ ବା ମାଉସୀପୁଅ ଭାଇ ବା ଭଉଣୀ	first
6	first day cover	Ns	ଡାକ ଟିକଟ ଜାରି କରିବାର ଦିନର ମୋହରଯୁକ୍ତ ଲଫାପା	first
7	first degree	Ns	କମ	first
8	first ever	Adj	ପ୍ରଥମ	first
9	first finger	Ns	ତର୍ଜନୀ ଆଙ୍ଗୁଳି#(see Index finger)	first
10	first floor	Ns	ଦ୍ୱିତୀୟ ମହଲା	first
11	first fruit	Ns	ପ୍ରଥମ ଫଳ	first
12	first gear	Ns	ପ୍ରଥମ ଗିୟର	first
13	first lady	Ns	ରାଷ୍ଟ୍ରପତିଙ୍କ ପତ୍ନୀ	first
14	first light	Ns	ଭୋର	first
15	first name	Ns	ନାମ	first
16	first night	Ns	ପ୍ରଥମ ଥର	first
17	first offender	Ns	ପ୍ରଥମ ଥର ଅପରାଧ କରିଲାବାଲା	first
18	first rate	Adj	ଅତି ଉତ୍ତମ	first
19	first refusal	Ns	ପ୍ରାଥମିକତା	first
20	first school	Ns	ପ୍ରାଇମେରୀ ସ୍କୁଲ	first
21	first time	Adj	ପ୍ରଥମ ଥର	first
22	firsthand	Adj	ସୀଧା ଖବର	first
23	firstly	Adv	ଆରମ୍ଭରେ	first
24	from first to last	IDM	ଆରମ୍ଭରୁ ଅନ୍ତ ପର୍ଯ୍ୟନ୍ତ	first
25	from the very first	IDM	ପ୍ରଥମରୁ	first
26	in the first flush	IDM	ପୂର୍ଣ୍ଣ ଯୌବନ ପ୍ରାପ୍ତ କରିବା	first
27	the first flight	IDM	ନିଜ କାମରେ ଶ୍ରେଷ୍ଠ ହୋଇଯିବା	first
28	the first person	Ns	ଅଙ୍ଗେନିଭା କଥା	first
29	the First World War	Ns	ପ୍ରଥମ ମହାଯୁଦ୍ଧ	first
1	fish	Ns	ମାଛ	fish
2	fish and chips	Ns	ମାଛ ଆଉ ଚିପ୍ସର ଜଳଖିଆ	fish
3	fish cake	Ns	ମାଛର ପିଠା	fish
4	fish eye/lense	Ns	ଏକ ପ୍ରକାରର କ୍ୟାମେରାର ଲୈନ୍ସ	fish
5	fish farm	Ns	ମାଛ ପାଳିବାର ପୋଖରୀ	fish
6	fish finger	Ns	ଛଣା ଯାଇଥିବା ମାଛ ଖଣ୍ଡ 	fish
7	fish hook	Ns	ମାଛ ଧରିବାର କଣ୍ଟା	fish
8	fish knife	Ns	ମାଛ ଖାଇବା ଛୁରୀ	fish
9	fish plate	Ns	ଫିଶ ପ୍ଲେଟ{ରେଲର ଧାରଣାକୁ ଯୋଡ଼ୁଥିବା ପ୍ଲେଟ}	fish
10	fish slice	Ns	ଏକ ପ୍ରକାରର ଖଣ୍ଡ	fish
11	fish stick	Ns	ଛଣା ଯାଇଥିବା ମାଛ ଖଣ୍ଡ	fish
12	fisherman	Ns	ମାଛଧରାଳି	fish
13	fishery	Ns	ମାଛ ଧରିବାର ଜାଗା	fish
14	fishing	Ns	ମାଛ ଧରିବା	fish
15	fishing line	Ns	ମାଛ ଧରିବାର ଡୋରି	fish
16	fishing pole	Ns	ମାଛ ଧରିବାର ବାଡ଼ି	fish
17	fishing rod	Ns	ମାଛ ଧରିବାର ବାଡ଼ି	fish
18	fishmonger	Ns	ମାଛ ବିକିବା ବାଲା	fish
19	fishnet	Ns	ସୂକ୍ଷ୍ମ ଜାଲି	fish
20	fishy	Adj	ସଂଶୟ ଯୁକ୍ତ	fish
21	flat fish	Ns	ଏକ ପ୍ରକାରର ମାଛ	fish
22	fly-fishing	Ns	ନକଲି ଚାରାରୁ ମାଛ ଧରିବା	fish
23	flying fish	Ns	ଉଡ଼ି ପାରୁଥିବା ମାଛ{ଏକ ପ୍ରକାରର ମାଛ ଯାହା ପାଣିର ପତ୍ତନରୁ ଉପରକୁ ଉଡ଼ି	fish
24	odd fish	Ns	ଅନ୍ୟମାନଙ୍କଠାରୁ ଭିନ୍ନ ବ୍ୟକ୍ତି	fish
1	fishing	Ns	ମାଛ ଧରିବା	fishing
2	fishing line	Ns	ମାଛ ଧରିବାର ଡୋରି	fishing
3	fishing pole	Ns	ମାଛ ଧରିବାର ବାଡ଼ି	fishing
4	fishing rod	Ns	ମାଛ ଧରିବାର ବାଡ଼ି	fishing
5	fly-fishing	Ns	ନକଲି ଚାରାରୁ ମାଛ ଧରିବା	fishing
1	close-fitting	Adj	ଜାକ	fit
2	fill/fit the bill	IDM	ଯୋଗ୍ୟ ହୋଇଯିବା	fit
3	fit	Adj	ସୁସ୍ଥ	fit
4	fitful	Adj	ବ୍ୟାକୁଳ	fit
5	fitfully	Adv	ବ୍ୟାକୁଳତାରୁ	fit
6	fitment	Ns	ଜିନିସ	fit
7	fitness	Ns	ସୁସ୍ଥ ହୋଇଯିବା	fit
8	fitted	Adj	ପୂରେଇଦେବା	fit
9	fitter	Ns	ମେକାନିକ	fit
10	fitting	Adj	ଠିକ୍ ସମୟରେ	fit
1	fitness	Ns	ସୁସ୍ଥ ହୋଇଯିବା	fitness
1	five	N/Det	ପାଞ୍ଚ	five
2	fivefold	Adv	ପାଞ୍ଚ ଗୁଣା	five
3	fiver	Ns	ପାଞ୍ଚର ନୋଟ	five
4	fives	Ns	ଏକ ପ୍ରକାରର ପେଣ୍ଡୁର ଖେଳ	five
1	fix	V	ଯୋଡ଼ିବା	fix
2	fixated	Adj	ନିୟମ ବିପରୀତ	fix
3	fixation	Ns	ଅସାଧାରଣ ଆସକ୍ତି	fix
4	fixative	Ns	ରାସାୟନିକ ପଦାର୍ଥ	fix
5	fixed	Adj	ସ୍ଥିର ହୋଇଥିବା ଲାଗି ଯାଇଥିବା	fix
6	fixed costs	Ns	ସ୍ଥିର ଖର୍ଚ	fix
7	fixedly	Adv	ଦୃଢତାପୂର୍ବକ	fix
8	fixity	Ns	ଦୃଢ ନିଶ୍ଚୟ	fix
9	fixture	Ns	ନିୟତ ଖେଳ	fix
1	flag	Ns	ପତାକା	flag
2	flag day	Ns	ପତାକା ଦିବସ	flag
3	flag of convenience	Ns	ଅନ୍ୟ ଦେଶର ପତାକା	flag
4	flag waving	Ns	ନିଷ୍କର୍ଷ ରହିତ	flag
5	flagellate	V	ବେତ ମାରିବା	flag
6	flagellation	Ns	ଆଘାତ	flag
7	flagged	Adj	ପଥର ଯୋଡ଼ିବା	flag
8	flagon	Ns	ମଦ ରଖିବା ବୋତଲ	flag
9	flagpole	Ns	ପତାକା ଲଗାଇବାର ସ୍ତମ୍ଭ	flag
10	flagrant	Adj	ଜ୍ୱଳନ୍ତ ଅତି ଅନ୍ୟାୟ ଗର୍ହିତ	flag
11	flagship	Ns	ମୁଖ୍ୟ	flag
12	flagstaff	Ns	ପତାକା ଲଗାଇବାର ସ୍ତମ୍ଭ	flag
13	keep the flag flying	IDM	ନାଆଁ ରଖିବା	flag
1	flame	Ns	ଶିଖା	flame
2	flamenco	Ns	ସ୍ପେନର ଏକ ନାଚ	flame
1	fall flat	IDM	ଅସଫଳ ହୋଇଯିବା	flat
2	flat	Adj	ସମତଳ	flat
3	flat as a pancake	IDM	ପୂରା ସମତଳ	flat
4	flat bottomed	Adj	ସମତଳ ବିଶିଷ୍ଟ ଜିନିସ	flat
5	flat car	Ns	ରେଲର ଖୋଲା ଡବା	flat
6	flat fish	Ns	ଏକ ପ୍ରକାରର ମାଛ	flat
7	flat footed	Adj	ପାଦକୁ ବୁଲେଇବାରେ ଅକ୍ଷମ	flat
8	flat out	IDM	ଶୀଘ୍ରତାରୁ	flat
9	flat racing	Ns	ସମତଳ ଜାଗାରେ ଘୋଡ଼ାଦୌଡ଼	flat
10	flatlet	Ns	ଛୋଟ ଫ୍ଲାଟ	flat
11	flatly	Adv	ପୂରା ଭାବରେ	flat
12	flatmate	Ns	ସାଙ୍ଗ	flat
13	flatness	Ns	ସମତଳତା	flat
14	flatten	V	ସମତଳ ହୋଇଯିବା[କରିବା]	flat
15	flatter	V	ଚାଟୁ କରିବା	flat
16	flatterer	Ns	ଚାଟୁକାର	flat
17	flattering	Adj	ଚାଟୁ କରୁଥିବା	flat
18	flattery	Ns	ଚାଟୁ	flat
19	flatulence	Ns	ପେଟରେ ଗ୍ୟାସର କଷ୍ଟ	flat
20	flatulent	Adj	ପେଟରେ ଗ୍ୟାସ ହୋଇଯିବା	flat
21	in a flat spin	IDM	ଅତ୍ୟଧିକ ବିରକ୍ତ ହୋଇଯିବା	flat
22	mud flat	Ns	କାଦୁଆ ଭୂମି	flat
1	flee	V	ପଳାୟନ କରିବା	flee
2	fleece	Ns	ପଶୁ ଶରୀରର ଉଲ	flee
3	fleecy	Adj	ମୁଲାୟମ	flee
4	fleet	Ns	ଅନେକ ଜାହାଜର ଏକତ୍ର ସମାବେଶ	flee
5	Fleet Admiral	Ns	ଫ୍ଲୀଟ ଏଡମିରଲ{ନୌସେନାର ଉଚ୍ଚ ଅଧିକାରୀ}	flee
6	Fleet Street	Ns	ଫ୍ଲୀଟ ସ୍ଟ୍ରୀଟ{ଲଂଡନର ଏକ ସଡ଼କର ନାମ}	flee
7	fleeting	Adj	କ୍ଷଣଭଂଗୁର	flee
8	fleetingly	Adv	କ୍ଷଣ ଭର କୋ	flee
1	flesh	Ns	ମାଂସ	flesh
2	flesh and blood	IDM	ଶାରୀରିକ ଭାବନା	flesh
3	flesh wound	Ns	ଘାଆ	flesh
4	fleshly	Adj	ଐନ୍ଦ୍ରିକ	flesh
5	fleshpots	Ns	ମନୋରଂଜନର ସ୍ଥାନ	flesh
6	fleshy	Adj	ମାଂସଳ	flesh
7	go the way of all flesh	IDM	ସାଂସାରିକ କାମନା ରଖିବା	flesh
8	in the flesh	IDM	ସଶରୀରେ	flesh
9	the flesh	Ns	ଶରୀର	flesh
1	flight	Ns	ଉଡ଼ାନ	flight
2	flight crew	Ns	ବିମାନ ର୍କମଚାରୀ	flight
3	flight deck	Ns	ବିମାନ ଚାଳକର ବସିବା ସ୍ଥାନ	flight
4	flight lieutenant	Ns	ବାୟୁସେନା ଅଧିକାରୀ	flight
5	flight path	Ns	ଉଡ଼ାଣର ମାର୍ଗ	flight
6	flight recorder	Ns	ଫ୍ଲାଇଟ ରିକର୍ଡର{ବାୟୁ-ଜାହାଜର ଉଡ଼ାଣର ସୂଚନା ରଖୁଥିବା ଯନ୍ତ୍ର}	flight
7	flight Sergeant	Ns	ଫ୍ଲାଇଟ ସାର୍ଜୈଂଟ{ଇଂଲାଣ୍ଡର ବାୟୁସେନାରେ ଏକ ପଦବୀ}	flight
8	flight simulator	Ns	ଫ୍ଲାଇଟ ସିମୁଲେଟର{ଉଡ଼ାଜାହାଜ ଉଡ଼େଇବା ଶିଖିବାର ଯନ୍ତ୍ର}	flight
9	flightless	Adj	ଉଡ଼ିବାକୁ ଅସମର୍ଥ	flight
10	flighty	Adj	ଚଞ୍ଚଳ ବ୍ୟବହାର	flight
11	put someone to flight	IDM	କୌଣସି ଲୋକକୁ ପଳାୟନ କରିବାକୁ ବାଧ୍ୟ କରିବା	flight
12	take to flight	IDM	ପଳାଇ ଯିବା	flight
13	the first flight	IDM	ନିଜ କାମରେ ଶ୍ରେଷ୍ଠ ହୋଇଯିବା	flight
14	the top flight	IDM	ନିଜ କାମରେ ଶ୍ରେଷ୍ଠ ହୋଇଯିବା	flight
1	float	V	ବହିବା	float
2	float about	PhrV	ଉଡ଼ା ଖବର ଆଣିବା	float
3	float around	PhrV	ଉଡ଼ା ଖବର ଆଣିବା	float
4	float on air	IDM	ଅତି ଉତ୍ସାହିତ ହୋଇଯିବା	float
5	floating	Adj	ଅସ୍ଥିର	float
6	floating around	Adv	ଏଠି ସେଠି ବୁଲିବା	float
7	floating voter	Ns	ଭୋଟ ଦେବାକୁ ସ୍ଥିର ନ କରି ପାରୁ ନ ଥିବା ବ୍ୟକ୍ତି	float
8	free floating	Adj	ଚାଲୁ ହୋଇଯିବା	float
1	be/get in on the ground floor	IDM	ତଳ ସ୍ତରରୁ କାମ ଆରମ୍ଭ କରିବା	floor
2	first floor	Ns	ଦ୍ୱିତୀୟ ମହଲା	floor
3	floor	Ns	ଚଟାଣ	floor
4	floor show	Ns	କ୍ଲବ ବା ହୋଟଲରେ ପ୍ରଦର୍ଶନ	floor
5	floorboard	Ns	ଚଟାଣ ତିଆରି କରୁଥିବା ଜିନିସ	floor
6	flooring	Ns	ଚଟାଣ	floor
7	hold the floor	IDM	ଦାୟିତ୍ୱ ନେବା	floor
8	Shop floor	Ns	କାର୍ଯ୍ୟଶାଳା	floor
9	take the floor	IDM	କାର୍ଯ୍ୟ ଆରମ୍ଭ କରିବା	floor
1	flow	V	ବହିବା	flow
2	flow chart	Ns	ପ୍ରକ୍ରିୟାର ସୂଚନା ଚାର୍ଟ	flow
3	flow from	PhrV	ରୁ ବାହାରିବା	flow
4	flow in/into	PhrV	ଜାହିର ହୋଇଯିବା	flow
5	flow out	PhrV	ବାହର ବାହାରିବା	flow
6	flower	Ns	ଫୁଲ	flow
7	flower bed	Ns	ଫୁଲର ଗାଲିଚା କିଆରି	flow
8	flower children	Ns	ଶାଂତିର ପ୍ରତୀକ ହିସାବରେ ଫୁଲ ନେଇ ଯାଉଥିବା ପିଲା	flow
9	flower people	Ns	ଶାଂତିର ପ୍ରତୀକ ହିସାବରେ ଫୁଲ ନେଇ ଯାଉଥିବା ଲୋକ	flow
10	flower power	Ns	ଶାଂତିର ପ୍ରତୀକରେ ଫୁଲ ନେଇ ଯାଉଥିବା ଲୋକଙ୍କ ବିଚାର	flow
11	flowered	Adj	ପୁଷ୍ପିତ	flow
12	flowering	Adj	ବଢ଼ନା	flow
13	flowerpot	Ns	କୁଣ୍ଡ ଗମଲା	flow
14	flowery	Adj	ଫୁଲବାଲୀ	flow
15	high flown	Adj	ଉଚ୍ଚ ଶୈଳୀ[ଭାଷାର]	flow
16	moon flower	Ns	ଚନ୍ଦ୍ରକାନ୍ତି	flow
17	sun flower	Ns	ସୂର୍ଯ୍ୟମୁଖୀ	flow
18	the bird has flown	IDM	ପଳାଇ ଯିବା	flow
19	the ebb and flow	IDM	ସମୁଦ୍ରର ଜୁଆର	flow
1	flower	Ns	ଫୁଲ	flower
2	flower bed	Ns	ଫୁଲର ଗାଲିଚା କିଆରି	flower
3	flower children	Ns	ଶାଂତିର ପ୍ରତୀକ ହିସାବରେ ଫୁଲ ନେଇ ଯାଉଥିବା ପିଲା	flower
4	flower people	Ns	ଶାଂତିର ପ୍ରତୀକ ହିସାବରେ ଫୁଲ ନେଇ ଯାଉଥିବା ଲୋକ	flower
5	flower power	Ns	ଶାଂତିର ପ୍ରତୀକରେ ଫୁଲ ନେଇ ଯାଉଥିବା ଲୋକଙ୍କ ବିଚାର	flower
6	flowered	Adj	ପୁଷ୍ପିତ	flower
7	flowering	Adj	ବଢ଼ନା	flower
8	flowerpot	Ns	କୁଣ୍ଡ ଗମଲା	flower
9	flowery	Adj	ଫୁଲବାଲୀ	flower
10	moon flower	Ns	ଚନ୍ଦ୍ରକାନ୍ତି	flower
11	sun flower	Ns	ସୂର୍ଯ୍ୟମୁଖୀ	flower
1	a fly on the wall	IDM	ବିନା ମହତ୍ୱର ବ୍ୟକ୍ତି	fly
2	a/the fly in the ointment	IDM	କାମ ଖରାପ କରିବାବାଲା	fly
3	fly	V	ଉଡ଼ିବା	fly
4	fly a kite	IDM	ଅନ୍ୟର ପ୍ରତିକ୍ରିୟା ଜାଣିବା ପାଇଁ କରା ଯାଇଥିବା କାମ	fly
5	fly at	PhrV	ଆକ୍ରାମକ ହୋଇଯିବା	fly
6	fly away	Adj	ଖେଳିଯିବା	fly
7	fly by	PhrV	ବାୟୁ-ଜହାଜଦ୍ୱାରା ଦିଆ ଯାଇଥିବା ସଲାମୀ	fly
8	fly by night	IDM	ଅବିଶ୍ୱସନୀୟ ଲୋକ	fly
9	fly high	IDM	ସଫଳ ହୋଇଯିବା	fly
10	fly in the face of	IDM	ଅସ୍ୱୀକାର ହୋଇଯିବା	fly
11	fly into a passion	IDM	ଅଚାନକ କ୍ରୋଧ କରିବା	fly
12	fly into a rage	IDM	ଅଚାନକ କ୍ରୋଧ କରିବା	fly
13	fly into a temper	IDM	ଅଚାନକ କ୍ରୋଧ କରିବା	fly
14	fly off the handle	IDM	କ୍ରୋଧ କରିବା	fly
15	fly past	PhrV	ବାୟୁ-ଜହାଜ ଦ୍ୱାରା ଦିଆ ଯାଇଥିବା ସଲାମୀ	fly
16	fly-blown	Adj	ଖରାପ ଅବସ୍ଥାରେ	fly
17	fly-fishing	Ns	ନକଲି ଚାରାରୁ ମାଛ ଧରିବା	fly
18	fly-paper	Ns	ମାଛି ଧରିବାର କାଗଜ	fly
19	flyer	Ns	ବାୟୁ-ଜାହାଜର ଚାଳକ	fly
20	flying	Adj	ଉଡ଼ିଲା ବାଲା	fly
21	flying buttress	Ns	ଅର୍ଧ ଗୁମ୍ବଜ	fly
22	flying doctor	Ns	ଡାକ୍ତର{ଯିଏ ବାୟୁ-ଜାହାଜରୁ ଦୂରର ରୋଗଗ୍ରସ୍ତ ଦେଖିବା ଜାଣନ୍ତି}	fly
23	flying fish	Ns	ଉଡ଼ି ପାରୁଥିବା ମାଛ{ଏକ ପ୍ରକାରର ମାଛ ଯାହା ପାଣିର ପତ୍ତନରୁ ଉପରକୁ ଉଡ଼ି	fly
24	flying jump	Ns	ଉପରକୁ କୁଦା ମାରିବା	fly
25	flying officer	Ns	ଇଂଲାଣ୍ଡର ବାୟୁସେନାର ଏକ ଅଧିକାରୀ	fly
26	flying saucer	Ns	ଉଡ଼ନ୍ତା ଥାଳିଆ	fly
27	flying sqad	Ns	ତଦାରଖକାରୀଙ୍କର ଏକ ଦଳ	fly
28	flying visit	Ns	କମ ସମୟର ଭେଟ	fly
29	flyleaf	Ns	ବହି ମଲାଟର ପ୍ରଥମ ଫର୍ଦ୍ଦ ଫାଇଲର ପ୍ରଥମ ଫର୍ଦ୍ଦ	fly
30	flyover	Ns	ସଡ଼କର ଉପର ପୋଲ	fly
31	flyweight	Ns	କୁସ୍ତି ଏକ ବର୍ଗ	fly
32	flywheel	Ns	ଯନ୍ତ୍ରରେ ଲଗାଯାଇଥିବା ଲୁହାର ଭାରି ଚକ	fly
33	fruit fly	Ns	ଫଳ ମକ୍ଷିକା	fly
34	get off to a flying start	IDM	ଆରମ୍ଭରୁ କାମ ଭଲ ଭାବରେ ହୋଇଯିବା	fly
35	go fly a kite	IDM	କାହାକୁ ତଡ଼ି ଦେବା	fly
36	high flyer	Ns	ଉଚ୍ଚ ସମାଜରେ ରହିଲାବାଲା	fly
37	high flying	Adj	ଉଚ୍ଚରେ ଉଡ଼ିବା	fly
38	keep the flag flying	IDM	ନାଆଁ ରଖିବା	fly
39	let fly	IDM	ଆକ୍ରମଣ କରିବା	fly
40	not harm/hurt a fly	IDM	ଅନ୍ୟକୁ ଦୁଃଖ ନ ଦେଉଥିବା ବ୍ୟକ୍ତି	fly
41	pigs might fly	IDM	ଅସମ୍ଭବ ହୋଇଯିବା	fly
42	with flying colours	IDM	ପୂର୍ଣ୍ଣ ସଫଳତା	fly
1	focus	Ns	କେଂଦ୍ର ବିଂଦୁ	focus
2	focussed	Adj	ସଫା ଦିଶିବା	focus
1	folk	Ns	ଲୋକ	folk
2	folk dance	Ns	ଲୋକ ନୃତ୍ୟ	folk
3	folk memory	Ns	ପୁରୁଣା ସ୍ମୃତି	folk
4	folk singer	Ns	ଲୋକ ଗାୟକ	folk
5	folk song	Ns	ଲୋକ ଗୀତ	folk
6	folk tale	Ns	ଲୋକ କଥା	folk
7	folklore	Ns	ପୌରାଣିକ କଥା	folk
8	folklorist	Ns	ଲୋକ କଥାର ଅଧ୍ୟୟନ କରୁଥିବା	folk
9	folksy	Adj	ମିତ୍ରତାପୂର୍ଣ୍ଣ	folk
1	as follows	IDM	ନିମ୍ନଲିଖିତ	follow
2	follow	V	ପିଛା କରିବା	follow
3	follow in sbs footsteps	IDM	ପଦାଙ୍କ ଅନୁସରଣ କରିବା	follow
4	follow suit	IDM	ସେଇଆ କରିବା	follow
5	follow the crowd	IDM	ସମସ୍ତଙ୍କ ସାଙ୍ଗରେ ହୋଇଯିବା	follow
6	follow through	PhrV	ଶେଷ ପର୍ଯ୍ୟନ୍ତ	follow
7	follow up	PhrV	ସୂଚନାନେବା	follow
8	follower	Ns	ଅନୁଯାୟୀ	follow
9	following	Adj	ପରବର୍ତ୍ତୀ	follow
10	to follow	PhrV	ଏହା ପରେ	follow
1	following	Adj	ପରବର୍ତ୍ତୀ	following
1	food	Ns	ଆହାର	food
2	food poisoning	Ns	ଖରାପ ଖାଦ୍ୟ ଖାଇ ହୋଇଥିବା ରୋଗ	food
3	food processor	Ns	ଖାଦ୍ୟଦ୍ରବ୍ୟ ପ୍ରକ୍ରିୟାକରଣ ଯନ୍ତ୍ର	food
4	food stuff	Ns	ଭୋଜନ-ସାମଗ୍ରୀ	food
5	food-chain	Ns	ପରସ୍ପରକୁ ଖାଇ ବଞ୍ଚୁଥିବା ଜୀବମାନଙ୍କର କ୍ରମ	food
6	health food	Ns	ସ୍ୱାସ୍ଥ୍ୟପ୍ରଦ ଭୋଜନ	food
7	junk food	Ns	ପାଉଁରୁଟି ଜାତୀୟ ଖାଦ୍ୟ ପଦାର୍ଥ ଯାହା ଶରୀରପ୍ରତି ଭଲନୁହେଁ	food
8	sea food	Ns	ସାମୁଦ୍ରିକ ଭୋଜନ	food
9	soul food	Ns	ଆଫ୍ରିକା-ଆମେରିକାର ଖାଦ୍ୟ ସାମଗ୍ରୀ	food
1	american football	Ns	ଆମେରିକାର ଫୁଟବଲ	foot
2	flat footed	Adj	ପାଦକୁ ବୁଲେଇବାରେ ଅକ୍ଷମ	foot
3	follow in sbs footsteps	IDM	ପଦାଙ୍କ ଅନୁସରଣ କରିବା	foot
4	foot	Ns	ଗୋଡ଼	foot
5	Foot stool	Ns	ଗୋଡ଼ ରଖିବାର ପିଢ଼ା	foot
6	footage	Ns	ରେକର୍ଡିଂ ଟେପ ଫିଲ୍ମ	foot
7	football	Ns	ଫୁଟବଲ	foot
8	football pool	Ns	ଫୁଟବଲ ଖେଳ ସମ୍ବନ୍ଧୀ ଜୁଆ	foot
9	footballer	Ns	ଫୁଟବଲର ଖେଳାଳୀ	foot
10	footballing	Adj	ଫୁଟବଲ	foot
11	footbridge	Ns	ପୁଲ{କେବଳ ପଦଯାତ୍ରୀମାନଙ୍କର ପାଇଁ}	foot
12	footer	Ns	ଲଂବା-ଚଉଡ଼ା	foot
13	footfall	Ns	ଚାଲିବାର ଆବାଜ	foot
14	foothill	Ns	ଛୋଟ ପର୍ବତ ଯାହା ବଡ ପର୍ବତର ଆଧାରରେ ଥାଏ	foot
15	foothold	Ns	ସୁରକ୍ଷିତ ସ୍ଥାନ	foot
16	footing	Ns	ଆଧାର	foot
17	footloose	Adj	କେଉଁଠି ବି ଯିବାକୁ ସ୍ୱାଧୀନ	foot
18	footman	Ns	ନିର୍ଦ୍ଦିଷ୍ଟ ପୋଷାକ ପିନ୍ଧା ଭୃତ୍ୟ ପଦାତିକ ସୈନିକ	foot
19	footnote	Ns	ପାଦଟିପ୍ପଣୀ	foot
20	footpath	Ns	ପାଦଚଲାପଥ	foot
21	footprint	Ns	ପାଦ ଚିହ୍ନ	foot
